Id,SalePrice
1461,113401.68636301378
1462,158270.74119715247
1463,176085.8644929656
1464,189463.60959816782
1465,219605.89853332602
1466,166778.22799407452
1467,168799.76981597117
1468,155221.26286334774
1469,210591.64120348773
1470,110831.98564144384
1471,161294.4533172217
1472,102866.19919165903
1473,101007.39584751645
1474,131156.5513903356
1475,85759.97626257985
1476,351633.13585790375
1477,281377.2447243029
1478,295228.2852011669
1479,292735.59577919194
1480,466558.6929309198
1481,336495.2438990425
1482,225588.4757755101
1483,175511.15132414247
1484,165539.77833623477
1485,192168.73981260703
1486,193795.8249845071
1487,320556.6903433552
1488,208885.60808645427
1489,204991.7641420761
1490,248612.8493684257
1491,203878.6648071412
1492,112730.07469721977
1493,219372.66301379024
1494,305785.74410013563
1495,289324.3484588845
1496,246081.08903725274
1497,165617.32569499162
1498,186499.9954672755
1499,152641.39443396093
1500,145451.02186242392
1501,222321.2340184979
1502,132345.07677108276
1503,271537.5724111955
1504,239420.36807700334
1505,227975.32584522388
1506,189608.00078921815
1507,260732.38298168013
1508,202102.45746115234
1509,161082.2439192953
1510,147250.87038681988
1511,156928.34378377115
1512,176263.50127318106
1513,141706.65570856328
1514,170080.54044555526
1515,199482.63798870487
1516,168582.487959894
1517,163501.78285868358
1518,112715.30034122095
1519,214237.2882155462
1520,116258.99915160533
1521,124850.3230215036
1522,204707.04953284113
1523,107566.17418128354
1524,112590.31677166204
1525,120186.474334203
1526,100743.70484172071
1527,104168.30141578428
1528,126195.14448026041
1529,166211.72946386025
1530,184621.9863690393
1531,149031.6002249844
1532,105972.12903042094
1533,154019.46312788484
1534,108023.96804166125
1535,146583.2946641601
1536,103743.66931747986
1537,30196.61978027443
1538,164012.98818936743
1539,213323.4577798495
1540,133816.05803578076
1541,126472.81531514256
1542,163087.17139517455
1543,194609.3839718142
1544,92975.08962896775
1545,123145.85124494761
1546,158818.9657382407
1547,172122.53587166188
1548,161648.24048418328
1549,134701.8680663045
1550,151040.20197587658
1551,113617.18253468032
1552,168207.55283258526
1553,166460.5415371938
1554,111291.96672869194
1555,178154.4761189938
1556,92793.66012235695
1557,125920.88606089988
1558,74497.45787107176
1559,49526.74017789755
1560,145832.73595065952
1561,129672.09642768043
1562,125001.78147541123
1563,127389.87395137444
1564,153070.33301840106
1565,147235.9101086642
1566,254896.48034363796
1567,73467.52348245494
1568,256553.12123971808
1569,106653.61685146426
1570,114440.81343825892
1571,69869.3475982059
1572,139832.9474196313
1573,249633.16081522117
1574,132828.2754946746
1575,256727.57626228678
1576,248867.39816845433
1577,183923.75905478897
1578,138270.46546879792
1579,155616.5381756328
1580,183996.54730244077
1581,143011.08162331165
1582,144752.7766808247
1583,287709.1296726493
1584,230549.86443340444
1585,142828.5788467656
1586,44508.1202615224
1587,114620.20908324627
1588,161375.14413266984
1589,96879.43194916034
1590,129300.76101234424
1591,87717.74110677105
1592,82154.42470931847
1593,133219.18036439669
1594,144609.28004416256
1595,111258.52335198768
1596,238686.17973600898
1597,205092.09647704844
1598,200630.86234769787
1599,171747.58967842703
1600,158570.028714246
1601,47183.09879927903
1602,116888.79535247435
1603,71174.64142345297
1604,249527.01299446877
1605,240217.64353630133
1606,175613.72719618003
1607,171822.83311393752
1608,203901.06234102094
1609,181916.4114935997
1610,143183.78369951504
